fp1,fp2,label,matches_before,score_before,matches_after,score_after,delta_score,improved
fingerprints/f1.jpeg,fingerprints/f1-copy.jpeg,1,31,0.10839160839160839,206,0.7202797202797203,0.6118881118881119,True
fingerprints/f2.png,fingerprints/f2-copy.png,1,78,0.37142857142857144,143,0.680952380952381,0.30952380952380953,True
fingerprints/f3.jpeg,fingerprints/f3-copy.jpeg,1,35,0.11904761904761904,140,0.47619047619047616,0.3571428571428571,True
fingerprints/f4.jpg,fingerprints/f4-copy.jpg,1,6,0.043478260869565216,36,0.2608695652173913,0.21739130434782608,True
fingerprints/f5.png,fingerprints/f5-copy.png,1,17,0.25757575757575757,50,0.7575757575757576,0.5,True
fingerprints/f6.png,fingerprints/f6-copy.png,1,31,0.27927927927927926,34,0.3063063063063063,0.02702702702702703,True
fingerprints/f7.jpeg,fingerprints/f7-copy.jpeg,1,246,0.22122302158273383,451,0.4055755395683453,0.18435251798561147,True
fingerprints/f8.png,fingerprints/f8-copy.png,1,11,0.18032786885245902,36,0.5901639344262295,0.4098360655737705,True
fingerprints/f9.png,fingerprints/f9-copy.png,1,0,0.0,2,0.034482758620689655,0.034482758620689655,True
fingerprints/f10.png,fingerprints/f10-copy.png,1,17,0.12142857142857143,58,0.4142857142857143,0.29285714285714287,True
fingerprints/f1.jpeg,fingerprints/f2.png,0,16,0.055944055944055944,87,0.3041958041958042,0.24825174825174828,True
fingerprints/f2.png,fingerprints/f3.jpeg,0,31,0.1054421768707483,94,0.3197278911564626,0.2142857142857143,True
fingerprints/f3.jpeg,fingerprints/f4.jpg,0,28,0.09523809523809523,67,0.22789115646258504,0.1326530612244898,True
fingerprints/f4.jpg,fingerprints/f5.png,0,0,0.0,15,0.10869565217391304,0.10869565217391304,True
fingerprints/f5.png,fingerprints/f6.png,0,44,0.3963963963963964,43,0.38738738738738737,-0.009009009009009028,False
fingerprints/f6.png,fingerprints/f7.jpeg,0,68,0.06115107913669065,72,0.06474820143884892,0.003597122302158272,True
fingerprints/f7.jpeg,fingerprints/f8.png,0,50,0.044964028776978415,61,0.05485611510791367,0.009892086330935253,True
fingerprints/f8.png,fingerprints/f9.png,0,18,0.29508196721311475,10,0.16393442622950818,-0.13114754098360656,False
fingerprints/f9.png,fingerprints/f10.png,0,9,0.06428571428571428,26,0.18571428571428572,0.12142857142857144,True
fingerprints/f10.png,fingerprints/f1.jpeg,0,34,0.11888111888111888,67,0.23426573426573427,0.11538461538461539,True
